CLASS_KEY,LESSON_KEY,STUDENT_KEY,QUIZ_KEY,QuestionNumber,Question,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,CorrectAnswers,TimeAllottedtoAnswer(seconds),Player,Answer,Correct/Incorrect,Correct,Incorrect,Score
CLS022,AWS01L01,SD369,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,soimmt,On-demand delivery of IT resources the internet with pay-as-you-go price,Correct,1,0,640
CLS022,AWS01L01,SD367,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,hoivtt15,On-demand delivery of IT resources the internet with pay-as-you-go price,Correct,1,0,935
CLS022,AWS01L01,SD370,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,Hooinspq1,Deploying applications connected to on-premises infrastructure,Incorrect,0,1,0
CLS022,AWS01L01,SD372,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,Khoinhnn10,On-demand delivery of IT resources the internet with pay-as-you-go price,Correct,1,0,768
CLS022,AWS01L01,SD371,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,Luoitnt4,On-demand delivery of IT resources the internet with pay-as-you-go price,Correct,1,0,748
CLS022,AWS01L01,SD364,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,Minhnn30,On-demand delivery of IT resources the internet with pay-as-you-go price,Correct,1,0,701
CLS022,AWS01L01,SD365,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,Troinsnk1,On-demand delivery of IT resources the internet with pay-as-you-go price,Correct,1,0,899
CLS022,AWS01L01,SD366,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,hoinsst,On-demand delivery of IT resources the internet with pay-as-you-go price,Correct,1,0,814
CLS022,AWS01L01,SD368,AWS01L01Q1,Q1,What is cloud computing?,Backing up files that are stored on desktop to prevent data loss,Deploying applications connected to on-premises infrastructure,Running code without needing to manage or provision servers,On-demand delivery of IT resources the internet with pay-as-you-go price,,,On-demand delivery of IT resources the internet with pay-as-you-go price,20,thuydt50,,Incorrect,0,1,0
CLS022,AWS01L01,SD369,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,soimmt,FALSE,Correct,1,0,739
CLS022,AWS01L01,SD367,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,hoivtt15,TRUE,Incorrect,0,1,0
CLS022,AWS01L01,SD370,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,Hooinspq1,TRUE,Incorrect,0,1,0
CLS022,AWS01L01,SD372,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,Khoinhnn10,TRUE,Incorrect,0,1,0
CLS022,AWS01L01,SD371,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,Luoitnt4,TRUE,Incorrect,0,1,0
CLS022,AWS01L01,SD364,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,Minhnn30,FALSE,Correct,1,0,895
CLS022,AWS01L01,SD365,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,Troinsnk1,TRUE,Incorrect,0,1,0
CLS022,AWS01L01,SD366,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,hoinsst,FALSE,Correct,1,0,759
CLS022,AWS01L01,SD368,AWS01L01Q2,Q2,"You manage the Application, Data is an Infrastructure as a Service (IaaS) model",TRUE,FALSE,,,,,FALSE,20,thuydt50,FALSE,Correct,1,0,838
CLS022,AWS01L01,SD369,AWS01L01Q3,Q3,What is an advantage of using the AWS Cloud over a traditional on-premises solution?,Users do not have to guess about future capacity needs,Users can utilize existing hardware contracts for purchases,Users can fix costs no matter what their traffic is,Users can avoid audits by using reports from AWS.,,,Users do not have to guess about future capacity needs,30,soimmt,Users can avoid audits by using reports from AWS.,Incorrect,0,1,0
CLS022,AWS01L01,SD367,AWS01L01Q3,Q3,What is an advantage of using the AWS Cloud over a traditional on-premises solution?,Users do not have to guess about future capacity needs,Users can utilize existing hardware contracts for purchases,Users can fix costs no matter what their traffic is,Users can avoid audits by using reports from AWS.,,,Users do not have to guess about future capacity needs,30,hoivtt15,Users do not have to guess about future capacity needs,Correct,1,0,1282
CLS022,AWS01L01,SD370,AWS01L01Q3,Q3,What is an advantage of using the AWS Cloud over a traditional on-premises solution?,Users do not have to guess about future capacity needs,Users can utilize existing hardware contracts for purchases,Users can fix costs no matter what their traffic is,Users can avoid audits by using reports from AWS.,,,Users do not have to guess about future capacity needs,30,Hooinspq1,Users can fix costs no matter what their traffic is,Incorrect,0,1,0
CLS022,AWS01L01,SD372,AWS01L01Q3,Q3,What is an advantage of using the AWS Cloud over a traditional on-premises solution?,Users do not have to guess about future capacity needs,Users can utilize existing hardware contracts for purchases,Users can fix costs no matter what their traffic is,Users can avoid audits by using reports from AWS.,,,Users do not have to guess about future capacity needs,30,Khoinhnn10,Users can utilize existing hardware contracts for purchases,Incorrect,0,1,0
CLS022,AWS01L01,SD371,AWS01L01Q3,Q3,What is an advantage of using the AWS Cloud over a traditional on-premises solution?,Users do not have to guess about future capacity needs,Users can utilize existing hardware contracts for purchases,Users can fix costs no matter what their traffic is,Users can avoid audits by using reports from AWS.,,,Users do not have to guess about future capacity needs,30,Luoitnt4,Users can utilize existing hardware contracts for purchases,Incorrect,0,1,0
CLS022,AWS01L01,SD364,AWS01L01Q3,Q3,What is an advantage of using the AWS Cloud over a traditional on-premises solution?,Users do not have to guess about future capacity needs,Users can utilize existing hardware contracts for purchases,Users can fix costs no matter what their traffic is,Users can avoid audits by using reports from AWS.,,,Users do not have to guess about future capacity needs,30,Minhnn30,Users do not have to guess about future capacity needs,Correct,1,0,1850
